Nome;Concentração;Forma Farmacêutica;Componente;Postos de Distribuição;Status
decanoato de haloperidol;50 mg/mL;Solução injetável;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
dexametasona;1 mg/g (0,1%);Creme;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
diazepam;5 mg;Comprimido;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
digoxina;0,25 mg;Comprimido;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
dipirona;500 mg;Comprimido;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
dipirona;500 mg/mL;Solução oral;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
enantato de noretisterona + valerato de estradiol;50 mg/mL + 5 mg/mL;Solução injetável;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
espironolactona;25 mg;Comprimido;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível na Farmácia Popular
etinilestradiol + levonorgestrel;0,03 mg + 0,15 mg;Comprimido;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
fenitoína;100 mg;Comprimido;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
fenobarbital;100 mg;Comprimido;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
fenobarbital;40 mg/mL;Solução oral;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
finasterida;5 mg;Comprimido;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
fluconazol;150 mg;Cápsula;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
fosfato de oseltamivir;30 mg;Cápsula;Estratégico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
